date,totalcases,newcases,totaldeaths,newdeaths,icupatients,hosppatients,newtests,totaltests,positiverate,totalvaccs,newvaccs,stringencyindex
7/26/2021,34533058,89297,610951,60,7923,29596,236897,480772408,0.044,163025726,778996,49.54
7/25/2021,34443761,15711,610891,56,7923,29596,236897,480772408,0.044,163025726,778996,49.54
7/24/2021,34428050,27395,610835,115,7923,29596,236897,480772408,0.044,162725812,676050,49.54
7/23/2021,34400655,118791,610720,525,7925,29607,236897,480772408,0.044,162435276,600157,49.54
7/22/2021,34281864,55058,610195,315,7634,28414,236897,480772408,0.044,162174165,660898,49.54
7/21/2021,34226806,52032,609880,333,7369,26888,236897,480772408,0.044,161895045,611493,49.54
7/20/2021,34174774,42703,609547,286,7102,25642,236897,480772408,0.044,161631676,243940,49.54
7/19/2021,34132071,52111,609261,212,6707,24209,357436,480535511,0.044,161473715,507076,49.54
7/18/2021,34079960,12048,609049,135,6268,22529,283897,480178075,0.044,161232483,500910,49.54
7/17/2021,34067912,12960,608914,70,5991,21560,434523,479894178,0.044,160994035,635290,49.54
7/16/2021,34054952,79310,608844,391,5783,20847,646789,479459655,0.044,160686378,549205,49.54
7/15/2021,33975642,28412,608453,283,5471,19883,720416,478812866,0.044,160408538,567174,49.54
7/14/2021,33947230,31845,608170,331,5251,19053,728850,478092450,0.044,160126516,545543,49.54
7/13/2021,33915385,26424,607839,355,5069,18170,715643,477363600,0.041,159675163,341466,49.54
7/12/2021,33888961,35013,607484,244,4880,17305,569331,476647957,0.038,159499224,449122,49.54
7/11/2021,33853948,6164,607240,28,4635,16373,335671,476078626,0.037,159266536,586244,49.54
7/10/2021,33847784,9038,607212,139,4440,15686,477587,475742955,0.036,158954417,598995,49.54
7/9/2021,33838746,48241,607073,504,4366,15379,645878,475265368,0.035,158629431,620612,49.54
7/8/2021,33790505,20061,606569,260,4296,15054,706862,474619490,0.033,158287566,694333,49.54
7/7/2021,33770444,22931,606309,294,4131,14648,758802,473912628,0.031,157908171,437117,61.57
7/6/2021,33747513,24224,606015,338,3977,13957,575262,473153826,0.03,157636088,633702,61.57
7/5/2021,33723289,5528,605677,49,3881,13419,299808,472578564,0.03,157323738,633702,61.57
7/4/2021,33717761,3697,605628,34,3777,13100,253739,472278756,0.027,157323738,633702,61.57
7/3/2021,33714064,4739,605594,81,3753,12892,437012,472025017,0.026,156982549,1161081,61.57
7/2/2021,33709325,29892,605513,472,3663,12844,585423,471588005,0.025,156255896,657166,61.57
7/1/2021,33679433,14463,605041,305,3614,12846,628139,471002582,0.024,155884601,1630778,61.57
6/30/2021,33664970,13118,604736,249,3672,12860,664828,470374443,0.023,154884686,1368679,61.57
6/29/2021,33651852,11350,604487,318,3674,12639,688063,469709615,0.022,154199664,738476,61.57
6/28/2021,33640502,15083,604169,153,3615,12492,541927,469021552,0.021,153776118,1087043,61.57
6/27/2021,33625419,3920,604016,75,3522,12218,335389,468479625,0.02,153028665,1204225,61.57
6/26/2021,33621499,7303,603941,149,3560,12221,486675,468144236,0.02,152184243,923724,61.57
6/25/2021,33614196,23715,603792,498,3616,12392,664620,467657561,0.02,151615554,512174,61.57
6/24/2021,33590481,12830,603294,345,3635,12377,681468,466992941,0.02,151252034,815152,61.57
6/23/2021,33577651,12436,602949,381,3699,12597,754737,466311473,0.019,150787303,648209,61.57
6/22/2021,33565215,10940,602568,326,3743,12520,772629,465556736,0.019,150424675,647403,61.57
6/21/2021,33554275,12334,602242,275,3707,12577,562058,464784107,0.018,150046006,610033,61.57
6/20/2021,33541941,3892,601967,89,3661,12483,329408,464222049,0.018,149667646,848611,58.8
6/19/2021,33538049,8520,601878,173,3671,12466,492625,463892641,0.018,149125164,1069021,58.8
6/18/2021,33529529,20591,601705,600,3737,12828,685319,463400016,0.018,148459003,1079390,58.8
6/17/2021,33508938,10393,601105,286,3806,13065,718002,462714697,0.018,147758585,2054216,58.8
6/16/2021,33498545,12425,600819,377,3881,13463,785754,461996695,0.018,146456124,1028496,58.8
6/15/2021,33486120,11305,600442,321,3940,13690,828568,461210941,0.019,145768367,1240847,58.8
6/14/2021,33474815,12730,600121,180,4067,13899,598531,460382373,0.019,144919339,1323282,58.8
6/13/2021,33462085,4777,599941,114,4048,13935,348290,459783842,0.019,143921222,1209817,46.76
6/12/2021,33457308,8228,599827,294,4185,13916,561510,459435552,0.02,143119077,1602933,46.76
6/11/2021,33449080,24699,599533,651,4300,14396,770676,458874042,0.021,142095530,822177,46.76
6/10/2021,33424381,14545,598882,433,4383,14816,789622,458103366,0.021,141583252,934142,46.76
6/9/2021,33409836,18647,598449,452,4479,15246,873817,457313744,0.021,140980110,829809,46.76
6/8/2021,33391189,13013,597997,343,4608,15613,888546,456439927,0.019,140441957,1071750,46.76
6/7/2021,33378176,15496,597654,317,4683,15725,641923,455551381,0.019,139748661,1213339,46.76
6/6/2021,33362680,5395,597337,172,4675,15972,369102,454909458,0.02,138969323,1369848,46.76
6/5/2021,33357285,13906,597165,382,4765,16280,614885,454540356,0.02,138112702,1148208,46.76
6/4/2021,33343379,16850,596783,530,4992,16948,866208,453925471,0.02,137455367,1399594,46.76
6/3/2021,33326529,19080,596253,619,5172,17606,983990,453059263,0.021,136644618,808036,46.76
6/2/2021,33307449,16917,595634,559,5319,18060,1104492,452075273,0.022,136155250,508652,46.76
6/1/2021,33290532,22940,595075,651,5488,18627,703019,450970781,0.024,135867425,1223800,46.76
5/31/2021,33267592,5775,594424,153,5538,18651,314405,450267762,0.025,135087319,1605272,46.76
5/30/2021,33261817,6734,594271,135,5521,19035,358180,449953357,0.024,135087319,1605272,46.76
5/29/2021,33255083,12001,594136,332,5603,19446,576735,449595177,0.024,134418748,1605272,46.76
5/28/2021,33243082,21859,593804,561,5776,20365,832983,449018442,0.025,133532544,1375171,46.76
5/27/2021,33221223,27448,593243,1362,5998,21024,922756,448185459,0.026,132769894,1512303,46.76
5/26/2021,33193775,23976,591881,979,6139,21574,1043567,447262703,0.026,131850089,1423432,46.76
5/25/2021,33169799,22739,590902,634,6310,22066,1069541,446219136,0.026,131078608,897972,46.76
5/24/2021,33147060,25815,590268,446,6418,22407,704429,445149595,0.027,130615797,1170314,46.76
5/23/2021,33121245,12868,589822,197,6412,22433,406860,444445166,0.027,130014175,1779363,46.76
5/22/2021,33108377,19798,589625,497,6472,22632,706585,444038306,0.028,129006463,2345872,52.31
