DATE,XRP_USDp,XRP_USDv,USDT_USDp,USDT_USDv,ETH_USDp,ETH_USDv,BTC_USDp,BTC_USDv,DOGE_USDp,DOGE_USDv,BNB_USDp,BNB_USDv,ADA_USDp,ADA_USDv
1/1/2019,0.364771,449347622,1.018335,3139234963,140.819412,2258709868,3843.52002,4324200990,0.002392,17364744,6.075273,23891162,0.042547,14962902
1/2/2019,0.375243,543216669,1.024012,4442755398,155.047684,3328240369,3943.409424,5244856836,0.002407,18015392,6.188613,30308610,0.045258,24151526
1/3/2019,0.360224,438873803,1.019473,3487202823,149.13501,2676164880,3836.741211,4530215219,0.00236,17619234,5.903535,22821639,0.042682,21126963
1/4/2019,0.356747,450633876,1.0172,3895786727,154.58194,3126192535,3857.717529,4847965467,0.002315,19530100,6.065138,29311136,0.043812,16024029
1/5/2019,0.355275,452090239,1.018489,3993806914,155.638596,3338211928,3845.19458,5137609824,0.002319,17148586,6.065543,30340637,0.044701,25100965
1/6/2019,0.368395,492558794,1.023578,4224650070,157.746201,3231294371,4076.632568,5597027440,0.002328,18175111,6.395979,41574183,0.049261,51366407
1/7/2019,0.364347,499028522,1.013987,3761972510,151.699219,2712108388,4025.248291,5228625637,0.002285,15899004,6.291411,37914513,0.047996,45688431
1/8/2019,0.365315,499493490,1.01935,3843200052,150.359634,2459808140,4030.8479,5306593305,0.002276,20994417,6.640054,65660517,0.048525,34626383
1/9/2019,0.37089,455908708,1.01683,3694148978,150.803116,2369241197,4035.296387,5115905225,0.002266,17010797,6.64155,74676974,0.052169,55364234
1/10/2019,0.332652,839535352,1.02346,5844376311,128.625183,3397734456,3678.924561,6874143796,0.002132,21174109,5.915919,75844882,0.044529,91162431
1/11/2019,0.332904,501054509,1.023316,4194066259,127.548325,2667585234,3687.365479,5538712865,0.002129,17187243,6.075342,50239804,0.044147,35963011
1/12/2019,0.3288,376386863,1.020881,3258438567,125.96653,2212109224,3661.301025,4778170883,0.002148,14167258,5.976965,32654874,0.043704,18224445
1/13/2019,0.317863,452358902,1.020091,3380321686,116.897804,2268263944,3552.953125,4681302466,0.002094,18059306,5.568757,26590183,0.040241,21758341
1/14/2019,0.333766,545540174,1.020856,4072427029,129.068726,2798085735,3706.052246,5651384490,0.002183,18534843,6.159282,43109288,0.044059,30269131
1/15/2019,0.327179,429283720,1.020558,3956962447,122.032715,2735449164,3630.675293,5537192302,0.002111,15986348,5.919048,25427436,0.04281,24504027
1/16/2019,0.329701,438731638,1.018522,3933540777,123.547066,2746469340,3655.006836,5394457145,0.002138,13656181,6.186014,35059223,0.044777,35481507
1/17/2019,0.329353,433446502,1.017495,4146824182,123.74192,2594091285,3678.563965,5464420383,0.002094,13882217,6.417832,36306127,0.045318,38222964
1/18/2019,0.324277,376280714,1.017251,3661299223,121.010262,2305389800,3657.839355,5002961727,0.002106,12471672,6.56304,43105423,0.044316,18937100
1/19/2019,0.331001,420070097,1.016782,3961648844,124.51902,3048261797,3728.568359,5955691380,0.002153,16088820,6.635449,46981638,0.04575,23657402
1/20/2019,0.321177,407205881,1.017146,4389435191,119.474831,2964108269,3601.013672,5582489560,0.002119,16178008,6.493869,49479090,0.043477,26755022
1/21/2019,0.32079,363940431,1.013376,3497758658,117.157852,2421720343,3576.032471,5004347059,0.002101,17205921,6.553025,36321046,0.042937,16583935
1/22/2019,0.319491,434125854,1.009036,3879616222,118.747551,2552507405,3604.577148,5313623556,0.002057,18971837,6.523199,31986617,0.043578,22963399
1/23/2019,0.316492,375671478,1.008297,3663985821,117.452606,2556952198,3585.123047,5433755649,0.002043,15672115,6.541402,33083575,0.0429,15241102
1/24/2019,0.317598,344960253,1.00854,3581348682,117.362885,2520843420,3600.865479,5262869046,0.002039,15825805,6.505792,26614401,0.043027,12440167
1/25/2019,0.317165,360076505,1.010522,3634209137,116.378342,2606881898,3599.765869,5265847539,0.002118,15953121,6.737325,43731936,0.042691,12663796
1/26/2019,0.314235,346413648,1.009264,3445405585,116.488739,2412181169,3602.460449,5098183235,0.002083,15588079,7.006565,48498979,0.042649,13550564
1/27/2019,0.309439,362599965,1.008717,3932642453,113.405289,2775888287,3583.96582,5570752966,0.002027,16233338,7.088199,52872347,0.041168,20835107
1/28/2019,0.294863,584796818,1.00883,4951907623,106.589973,3366895505,3470.450439,6908930483,0.001944,16265136,6.206182,82427200,0.038772,30041137
1/29/2019,0.289558,454631055,1.009438,4206195777,105.598213,2900418606,3448.116943,5897159493,0.001927,14809844,6.18167,49291811,0.038251,19526240
1/30/2019,0.320461,753787392,1.007188,4249354160,108.907539,2874370355,3486.181641,5955112627,0.001961,11813018,6.174529,41310644,0.039656,26151501
1/31/2019,0.310036,780304474,1.00649,4110696174,107.061012,2828796031,3457.792725,5831198271,0.001925,13824059,6.268436,52240451,0.038374,22222102
2/1/2019,0.308517,564486615,1.006309,3949396927,107.609787,2541271519,3487.945313,5422926707,0.001916,17411751,6.562617,56050947,0.038678,18778624
2/2/2019,0.310912,429425320,1.0027,3806913471,110.43026,2385157838,3521.060791,5071623601,0.001936,13184663,6.891695,56627089,0.039317,12312317
2/3/2019,0.302352,438357004,1.000047,3756996124,107.492668,2519334757,3464.013428,5043937584,0.001904,15354409,6.738165,59942158,0.038029,12940762
2/4/2019,0.300198,418384497,0.999826,3770858317,107.821602,2491888675,3459.154053,5332718886,0.001896,13169126,7.1005,71959989,0.037857,12233074
2/5/2019,0.299239,424722760,0.999532,3691717612,107.44352,2515863999,3466.357422,5227549545,0.001888,13983316,7.81981,96588397,0.037896,13348305
2/6/2019,0.290727,456205130,1.001003,4271302713,104.919289,2593048199,3413.767822,5482196038,0.001866,15246340,8.086174,118867601,0.036663,17351384
2/7/2019,0.291618,368034283,1.001078,3569921563,104.535301,2326764622,3399.47168,5004962683,0.001845,14228248,7.730325,86056681,0.036396,12424740
2/8/2019,0.311683,683014535,1.001943,6153689552,119.267746,3656841347,3666.780273,7735623101,0.001956,17956052,8.575567,103694036,0.040751,32705206
2/9/2019,0.311284,461638795,1.000295,4749715865,119.430885,2884650400,3671.203613,6158833645,0.001949,14455529,8.871357,106420119,0.041058,18529365
2/10/2019,0.309909,495640831,1.004217,4965113768,124.806488,3148766590,3690.188232,6282256903,0.001946,15828371,9.21154,125419865,0.04283,22634047
2/11/2019,0.302741,474495062,1.003165,5144064149,121.298393,3222473887,3648.430664,6277056434,0.001906,15220889,9.551809,136029624,0.041733,17847243
2/12/2019,0.30519,472806810,1.003979,5105059634,122.572289,3149576429,3653.528564,6480384532,0.001894,16971098,9.341781,123194872,0.041751,14893311
2/13/2019,0.304284,494653115,1.003968,5228665975,122.553604,3386585799,3632.070557,6438903823,0.001893,15440451,8.941073,95068052,0.041118,12736280
2/14/2019,0.301909,418928960,1.006482,4761618448,121.390205,3331701628,3616.880859,6271044418,0.001897,16879422,8.782048,72389547,0.04054,11428290
2/15/2019,0.301759,426310729,1.003441,5016161093,122.100388,3021741615,3620.810791,6091952231,0.001908,14754160,9.273832,83961438,0.0406,13336096
2/16/2019,0.301703,379011431,1.003264,4506743621,123.260216,2905833287,3629.787598,5934744052,0.001924,14351257,9.129251,65705040,0.041026,11097836
2/17/2019,0.30337,427237164,1.000956,5746888553,133.598877,4236081130,3673.836182,7039512503,0.001992,19208659,9.216046,66977126,0.041452,15275650
2/18/2019,0.321568,887187377,1.005453,9082574152,146.098373,5387525773,3915.714355,9908216640,0.002114,26457493,9.634436,79003060,0.045605,36845046
2/19/2019,0.323768,1135384190,1.007616,9304885086,145.346191,5310842625,3947.094482,9933626655,0.002067,26883836,10.563078,128091178,0.046158,42563543
2/20/2019,0.33288,777173685,1.006978,8091720630,149.554337,4500094965,3999.820557,8693373948,0.002079,20976083,10.966056,118033473,0.047551,25594089
2/21/2019,0.321291,634536385,1.004418,6765318432,146.130844,3995766856,3954.118164,7775128102,0.002028,18308575,10.492892,85754656,0.044969,25111686
2/22/2019,0.321904,570898964,1.00854,6931449681,149.092453,3731099284,4005.526611,7826525254,0.002056,19850028,10.837115,82256314,0.046163,17691042
2/23/2019,0.33262,638747256,1.008529,8122320488,158.795425,4519468458,4142.526855,8922258316,0.002083,20487004,10.781801,81628102,0.048593,27665133
2/24/2019,0.301443,1117884486,1.012046,11405442806,135.852661,5957715043,3810.42749,10794227451,0.001974,25171947,10.113093,113588899,0.042456,51650807
2/25/2019,0.32851,1060838440,1.015052,9138604588,139.822861,4914392068,3882.696289,9318796067,0.00203,20965852,9.842012,146043498,0.044043,24692110
2/26/2019,0.319477,881257178,1.010847,7159288173,138.089676,3791292839,3854.35791,7931218996,0.002023,19292966,9.521595,88437694,0.043304,16641229
2/27/2019,0.313106,716326029,1.009045,7569906987,136.125961,4469776860,3851.047363,8301309684,0.002019,19512740,9.899132,93800328,0.04327,18346578
2/28/2019,0.315078,734041245,1.010067,7911756336,136.746246,4535438953,3854.7854,8399767798,0.001976,18191276,10.365178,100626963,0.043123,14678619
3/1/2019,0.317312,752723591,1.006868,6628411253,136.443619,3756124824,3859.58374,7661247975,0.001994,18777567,11.393217,117838677,0.043279,12997144
3/2/2019,0.315126,604560086,1.011416,6623334103,134.206955,3747176425,3864.415039,7578786076,0.002003,17330550,11.869744,120807894,0.042838,11304263
3/3/2019,0.312554,548503372,1.01022,6148316202,132.24942,3454374053,3847.175781,7253558152,0.001999,15753983,11.537903,89868246,0.042312,11011517
3/4/2019,0.305133,647905632,1.011617,8129567032,127.774124,4008171341,3761.557129,9029175788,0.001982,16744533,11.545945,89421231,0.040602,18487838
3/5/2019,0.316507,786832982,1.011154,9791470887,137.822388,4764849990,3896.375,10174126415,0.001985,19420739,13.811967,237026335,0.043212,20952204
3/6/2019,0.317031,750399371,1.010583,8754632122,138.789352,4589054219,3903.942627,9175291529,0.001983,17375079,14.517946,191016822,0.042843,15221353
3/7/2019,0.314766,716447226,1.008475,8964016754,138.0345,4339206292,3911.484375,9584165519,0.001991,17976088,15.145886,236520320,0.042944,17201356
3/8/2019,0.310087,680461375,1.009525,9170949582,135.127075,4678816794,3901.131592,10638638944,0.00198,17551404,14.366936,227303083,0.042664,20315017
3/9/2019,0.313826,763946051,1.005976,9012563866,137.965332,5011918715,3963.313721,10796103518,0.001998,17348833,14.565879,160640089,0.046728,52185658
3/10/2019,0.313107,620043949,1.008822,7993146408,136.758682,4578438499,3951.599854,9713267607,0.001999,14597178,14.494439,140866074,0.045698,27465022
3/11/2019,0.311065,671951311,1.00878,8754662156,133.83403,4689807419,3905.227295,10125901903,0.001966,20212258,14.514414,152327295,0.047633,54732770
3/12/2019,0.310201,581106367,1.006598,8193056943,134.442886,4709988000,3909.15625,9809887079,0.002012,20817165,15.406131,169525508,0.047397,35348849
3/13/2019,0.314098,827163024,1.010083,7861726433,133.263077,4265162099,3906.717285,9469184841,0.002025,17366462,15.115124,145402739,0.04659,29855262
