Date,usd_cad,aud_usd,usd_jpy,gbp_usd,euro_usd,euro_jpy
20-Aug-21,1.2821,0.7134,109.8,1.3621,1.1696,128.42
19-Aug-21,1.2826,0.7146,109.72,1.3638,1.1674,128.09
18-Aug-21,1.2655,0.7231,109.74,1.3755,1.171,128.51
17-Aug-21,1.263,0.7249,109.57,1.3739,1.1708,128.3
16-Aug-21,1.2572,0.7337,109.23,1.385,1.1777,128.64
13-Aug-21,1.2513,0.7369,109.57,1.3863,1.1791,129.19
12-Aug-21,1.2525,0.7334,110.38,1.3804,1.1727,129.48
11-Aug-21,1.2506,0.7372,110.4,1.3872,1.1737,129.58
10-Aug-21,1.2519,0.735,110.56,1.3843,1.1718,129.55
9-Aug-21,1.2574,0.7333,110.28,1.3844,1.1737,129.44
6-Aug-21,1.2552,0.7353,110.25,1.3871,1.176,129.65
5-Aug-21,1.2507,0.7404,109.74,1.3928,1.1832,129.84
4-Aug-21,1.2534,0.7379,109.47,1.3885,1.1835,129.56
3-Aug-21,1.2536,0.7394,109.04,1.3914,1.186,129.32
2-Aug-21,1.2509,0.736,109.28,1.3881,1.1867,129.68
30-Jul-21,1.247,0.7344,109.7,1.3901,1.187,130.21
29-Jul-21,1.2444,0.7395,109.46,1.3961,1.1886,130.12
28-Jul-21,1.2527,0.7376,109.9,1.3898,1.1842,130.14
27-Jul-21,1.26,0.736,109.76,1.3874,1.1814,129.67
26-Jul-21,1.254,0.738,110.34,1.3816,1.1799,130.19
23-Jul-21,1.2561,0.7364,110.54,1.3745,1.1771,130.11
22-Jul-21,1.2564,0.7378,110.14,1.3763,1.177,129.63
21-Jul-21,1.2552,0.7358,110.27,1.371,1.1792,130.03
20-Jul-21,1.2677,0.7329,109.84,1.3626,1.1779,129.38
19-Jul-21,1.2748,0.7342,109.44,1.3672,1.1798,129.12
16-Jul-21,1.2611,0.7402,110.08,1.3772,1.1805,129.89
15-Jul-21,1.2592,0.7427,109.86,1.3828,1.1812,129.77
14-Jul-21,1.2506,0.748,109.99,1.3856,1.1835,130.13
13-Jul-21,1.251,0.7446,110.61,1.3808,1.1774,130.24
12-Jul-21,1.2451,0.7475,110.35,1.388,1.1859,130.86
9-Jul-21,1.2446,0.7485,110.14,1.3899,1.1873,130.77
8-Jul-21,1.2532,0.7429,109.79,1.3785,1.1842,130.01
7-Jul-21,1.2477,0.7481,110.65,1.38,1.1789,130.43
6-Jul-21,1.2462,0.7497,110.6,1.3799,1.1822,130.77
5-Jul-21,1.2338,0.7529,110.96,1.3845,1.1861,131.61
2-Jul-21,1.2319,0.7525,111.04,1.3821,1.1864,131.69
1-Jul-21,1.2436,0.7469,111.5,1.3767,1.1848,132.12
30-Jun-21,1.2394,0.7498,111.1,1.3827,1.1855,131.71
29-Jun-21,1.2401,0.7511,110.5,1.3835,1.1895,131.44
28-Jun-21,1.2335,0.7567,110.62,1.3883,1.1924,131.9
25-Jun-21,1.2294,0.7586,110.77,1.3877,1.1933,132.18
24-Jun-21,1.2322,0.7582,110.86,1.3922,1.193,132.26
23-Jun-21,1.2305,0.7575,110.94,1.3959,1.1925,132.3
22-Jun-21,1.2305,0.7553,110.64,1.3947,1.1938,132.08
21-Jun-21,1.2359,0.7535,110.3,1.3929,1.1915,131.41
18-Jun-21,1.2462,0.7477,110.19,1.3809,1.186,130.69
17-Jun-21,1.2361,0.755,110.2,1.3919,1.1906,131.19
16-Jun-21,1.2276,0.761,110.69,1.3987,1.1994,132.76
15-Jun-21,1.218,0.7685,110.07,1.408,1.2124,133.45
14-Jun-21,1.2141,0.7711,110.06,1.4112,1.2118,133.36
11-Jun-21,1.2155,0.7706,109.65,1.4106,1.2106,132.74
10-Jun-21,1.2094,0.7752,109.31,1.4173,1.2169,133.02
