Date,usd_cad,aud_usd,usd_jpy,gbp_usd,euro_usd
8/20/2021,1.2821,0.7134,109.8,1.3621,1.1696
8/19/2021,1.2826,0.7146,109.72,1.3638,1.1674
8/18/2021,1.2655,0.7231,109.74,1.3755,1.171
8/17/2021,1.263,0.7249,109.57,1.3739,1.1708
8/16/2021,1.2572,0.7337,109.23,1.385,1.1777
8/13/2021,1.2513,0.7369,109.57,1.3863,1.1791
8/12/2021,1.2525,0.7334,110.38,1.3804,1.1727
8/11/2021,1.2506,0.7372,110.4,1.3872,1.1737
8/10/2021,1.2519,0.735,110.56,1.3843,1.1718
8/9/2021,1.2574,0.7333,110.28,1.3844,1.1737
8/6/2021,1.2552,0.7353,110.25,1.3871,1.176
8/5/2021,1.2507,0.7404,109.74,1.3928,1.1832
8/4/2021,1.2534,0.7379,109.47,1.3885,1.1835
8/3/2021,1.2536,0.7394,109.04,1.3914,1.186
8/2/2021,1.2509,0.736,109.28,1.3881,1.1867
7/30/2021,1.247,0.7344,109.7,1.3901,1.187
7/29/2021,1.2444,0.7395,109.46,1.3961,1.1886
7/28/2021,1.2527,0.7376,109.9,1.3898,1.1842
7/27/2021,1.26,0.736,109.76,1.3874,1.1814
7/26/2021,1.254,0.738,110.34,1.3816,1.1799
7/23/2021,1.2561,0.7364,110.54,1.3745,1.1771
7/22/2021,1.2564,0.7378,110.14,1.3763,1.177
7/21/2021,1.2552,0.7358,110.27,1.371,1.1792
7/20/2021,1.2677,0.7329,109.84,1.3626,1.1779
7/19/2021,1.2748,0.7342,109.44,1.3672,1.1798
7/16/2021,1.2611,0.7402,110.08,1.3772,1.1805
7/15/2021,1.2592,0.7427,109.86,1.3828,1.1812
7/14/2021,1.2506,0.748,109.99,1.3856,1.1835
7/13/2021,1.251,0.7446,110.61,1.3808,1.1774
7/12/2021,1.2451,0.7475,110.35,1.388,1.1859
7/9/2021,1.2446,0.7485,110.14,1.3899,1.1873
7/8/2021,1.2532,0.7429,109.79,1.3785,1.1842
7/7/2021,1.2477,0.7481,110.65,1.38,1.1789
7/6/2021,1.2462,0.7497,110.6,1.3799,1.1822
7/5/2021,1.2338,0.7529,110.96,1.3845,1.1861
7/2/2021,1.2319,0.7525,111.04,1.3821,1.1864
7/1/2021,1.2436,0.7469,111.5,1.3767,1.1848
6/30/2021,1.2394,0.7498,111.1,1.3827,1.1855
6/29/2021,1.2401,0.7511,110.5,1.3835,1.1895
6/28/2021,1.2335,0.7567,110.62,1.3883,1.1924
6/25/2021,1.2294,0.7586,110.77,1.3877,1.1933
6/24/2021,1.2322,0.7582,110.86,1.3922,1.193
6/23/2021,1.2305,0.7575,110.94,1.3959,1.1925
