Date, Open
9/16/2021,2512.67
9/15/2021,2492.6
9/14/2021,2507.64
9/13/2021,2504.59
9/10/2021,2522.36
9/9/2021,2532.31
9/8/2021,2537.07
9/7/2021,2547.22
9/3/2021,2547.52
9/2/2021,2540.53
9/1/2021,2537.57
8/31/2021,2542.31
8/30/2021,2533.11
8/27/2021,2508.72
8/26/2021,2523.39
8/25/2021,2516.81
8/24/2021,2510.34
8/23/2021,2487.33
8/20/2021,2466.49
8/19/2021,2463.6
8/18/2021,2490.33
8/17/2021,2508.84
8/16/2021,2505.54
8/13/2021,2503.49
8/12/2021,2496.11
8/11/2021,2490.71
8/10/2021,2490.3
8/9/2021,2491.15
8/6/2021,2489.08
8/5/2021,2474.11
8/4/2021,2484.22
8/3/2021,2465.81
8/2/2021,2470.28
7/30/2021,2481.83
7/29/2021,2472.03
7/28/2021,2472.03
7/27/2021,2483.65
7/26/2021,2479.41
7/23/2021,2455.15
7/22/2021,2450.84
7/21/2021,2430.07
7/20/2021,2390.56
7/19/2021,2423.82
7/16/2021,2444.45
7/15/2021,2451.62
7/14/2021,2454.28
7/13/2021,2464.04
7/12/2021,2457.84
7/9/2021,2428.3
7/8/2021,2447.66
7/7/2021,2445.63
7/6/2021,2448.65
7/2/2021,2432.96
7/1/2021,2420.74
6/30/2021,2419.2
6/29/2021,2419.34
6/28/2021,2415.42
6/25/2021,2407.38
6/24/2021,2391.65
6/23/2021,2393.04
6/22/2021,2379.66
6/21/2021,2348.07
6/18/2021,2376.25
6/17/2021,2376.84
6/16/2021,2390.17
6/15/2021,2395.98
6/14/2021,2392.23
6/11/2021,2385.96
6/10/2021,2374.36
6/9/2021,2379.53
6/8/2021,2377.86
6/7/2021,2376.68
6/4/2021,2357.94
6/3/2021,2364.64
6/2/2021,2364.18
6/1/2021,2365.17
5/28/2021,2363.12
5/27/2021,2358.61
5/26/2021,2353.2
5/25/2021,2358.77
5/24/2021,2343.14
5/21/2021,2338
5/20/2021,2312.21
5/19/2021,2316.04
5/18/2021,2336.39
5/17/2021,2342.89
5/14/2021,2306.18
5/13/2021,2280.24
5/12/2021,2331.53
5/11/2021,2349.24
5/10/2021,2376.94
5/7/2021,2360.73
5/6/2021,2343.31
5/5/2021,2344.28
5/4/2021,2359.99
5/3/2021,2356.97
4/30/2021,2373.57
4/29/2021,2365.55
4/28/2021,2363.37
4/27/2021,2365.36
4/26/2021,2359.01
4/23/2021,2333.53
4/22/2021,2350.99
4/21/2021,2327.65
4/20/2021,2346.28
4/19/2021,2359.31
4/16/2021,2353.24
4/15/2021,2328.89
4/14/2021,2335.92
4/13/2021,2326.48
4/12/2021,2324.99
4/9/2021,2308.68
4/8/2021,2299.99
4/7/2021,2296.78
4/6/2021,2295.43
4/5/2021,2281.89
4/1/2021,2242.24
3/31/2021,2231.62
3/30/2021,2230.2
3/29/2021,2238.04
3/26/2021,2203.7
3/25/2021,2189.91
3/24/2021,2208.04
3/23/2021,2225.46
3/22/2021,2210.94
3/19/2021,2210.18
3/18/2021,2245.47
3/17/2021,2238.99
3/16/2021,2247.65
3/15/2021,2229.19
3/12/2021,2225.89
3/11/2021,2201.39
3/10/2021,2189.29
3/9/2021,2160.21
3/8/2021,2167.07
3/5/2021,2128.94
