Date,NYC,DJIA,NSDQBTCH,RUSS,SPFIVE
9/16/2021,16576.77,34751.32,5359.97,2511.25,4432.99
9/15/2021,16626.88,34814.39,5333,2513.2,4473.75
9/14/2021,16497.23,34577.57,5282.71,2492.32,4480.7
9/13/2021,16635.39,34869.63,5301.02,2507.11,4462.58
9/10/2021,16563.48,34607.72,5366.18,2502.26,4458.58
9/9/2021,16663.13,34879.38,5394.02,2521.84,4493.28
9/8/2021,16731.05,35031.07,5377.33,2532.2,4514.07
9/7/2021,16801.18,35100,5434.78,2537.06,4520.03
9/3/2021,16909.72,35369.09,5449.32,2547.39,4535.43
9/2/2021,16926.72,35443.82,5459.82,2547.7,4536.95
9/1/2021,16845.98,35312.53,5402.52,2539.69,4524.09
8/31/2021,16806.44,35360.73,5347.62,2537.31,4522.68
8/30/2021,16819.63,35399.84,5314.75,2542.01,4528.79
8/27/2021,16844.75,35455.8,5326.92,2532.05,4509.37
8/26/2021,16694.32,35213.12,5309.25,2508.48,4470
8/25/2021,16812.84,35405.5,5343.64,2523.4,4496.19
8/24/2021,16741.16,35366.26,5318.83,2516.78,4486.23
8/23/2021,16648.55,35335.71,5337.19,2509.73,4479.53
8/20/2021,16516.68,35120.08,5174.74,2487.04,4441.67
8/19/2021,16429.14,34894.12,5090.54,2465.94,4405.8
8/18/2021,16550.34,34960.69,5223.44,2465.45,4400.27
8/17/2021,16707.13,35343.28,5295.69,2491.2,4448.08
8/16/2021,16836.74,35625.4,5191.48,2509.43,4479.71
8/13/2021,16868.11,35515.38,5266.77,2506.26,4468
8/12/2021,16871.12,35499.85,5270.16,2503.39,4460.83
8/11/2021,16875.39,35484.97,5226.08,2495.92,4447.7
8/10/2021,16792.78,35264.67,5387.39,2490.65,4436.75
8/9/2021,16726.95,35101.85,5476.62,2489.72,4432.35
8/6/2021,16748.08,35208.51,5338.25,2491.27,4436.52
8/5/2021,16695.5,35064.25,5419.69,2489.35,4429.1
8/4/2021,16594.48,34792.67,5321.77,2473.43,4402.66
8/3/2021,16713.46,35116.4,5249.54,2483.93,4423.15
8/2/2021,16576.21,34838.16,5136.95,2465.51,4387.16
7/30/2021,16602.29,34935.47,5137.7,2469.17,4395.26
7/29/2021,16697.14,35084.53,5144.86,2483.26,4419.15
7/28/2021,16573.56,34930.93,5188.27,2473.36,4400.64
